A.19078,A.19312,A.19332,B.15012,B.15076,B.15096,C.11064,C.11070,C.11425,D.07042,D.07418,D.07428,E.03072,E.03094,E.03098,F.98314,F.98372,F.98398
0.005361893,0.005680273,0.006697743,0.00936452,0.010922772,0.00936452,0.005701217,0.006731629,0.008358238,0.016299043,0.014414956,0.006186632,0,0.007713618,0.009210787,0.020683237,0.020683237,0.013948955
0.078149273,0.070014002,0.08907085,0.066288156,0.073255814,0.066288156,0.047230524,0.059802571,0.117930629,0.107469124,0.063534472,0.089447135,0.08938401,0.083898305,0.095999986,0.085379017,0.085379017,0.14959026
0.020719303,0.019999528,0.020402263,0.024579517,0.02083149,0.024579517,0.020529716,0.019337918,0.017495531,0.016685235,0.020982736,0.021326343,0.017813194,0.027425741,0.017576072,0.022955458,0.022955458,0.038696241
0.036186579,0.028532577,0.049521572,0.035447751,0.040292449,0.035447751,0.05055873,0.046351785,0.04172163,0.051201831,0.048892514,0.035740332,0.038007172,0.042189028,0.038135675,0.052433104,0.052433104,0.052233675
0.01581728,0.011111187,0.008547276,0.011578286,0.015718492,0.011578286,0.022601755,0.018099647,0.014247938,0.024988749,0.029084884,0.013936881,0.016820606,0.014849894,0.035207497,0.024036322,0.024036322,0.039804627
0.013266319,0.012361304,0.016193567,0.015907736,0.028752953,0.015907736,0.034305677,0.017158298,0.024234455,0.01956702,0.017631611,0.016491903,0,0.01592166,0.021824308,0.045305061,0.045305061,0.029081522
0.001338014,0.002391951,0.002530019,0.003691733,0.006385724,0.003691733,0.007005153,0.001751789,0.001637692,0.00455386,0.002022602,0.001804089,0,0.003868923,0.003477204,0.014681572,0.014681572,0.020718757
0.006314551,0.010769329,0.010051854,0.011024847,0.012004833,0.011024847,0.012701613,0.007086205,0.011724608,0.019286499,0.012089079,0.014887733,0,0.012896413,0.021043097,0.018226444,0.018226444,0.023921795
0.003527728,0.004309736,0.003683862,0.007024762,0.008383428,0.007024762,0.008015659,0.006120467,0.010158632,0.008620543,0.009790046,0.004585606,0,0.005222176,0.020365142,0.034832636,0.034832636,0.01347178
0.003376416,0.007219308,0.003267623,0.013400884,0.008037475,0.013400884,0.05167777,0.011153359,0.009657434,0.047101449,0.018726797,0.015555736,0,0.001436782,0.020376316,0.078242568,0.078242568,0.050596128
0.025407902,0.02220113,0.027327181,0.02947659,0.024648408,0.02947659,0.025088464,0.031705523,0.03126685,0.026366629,0.026243597,0.026159028,0.026677773,0.026618808,0.028394443,0.03440426,0.03440426,0.0358769
0.005160219,0.008491078,0.005591289,0.007289888,0.011837068,0.007289888,0.014093187,0.012475103,0.008961277,0.014178932,0.019321522,0.004783411,0,0.003621968,0.029714912,0.026696481,0.026696481,0.026511957
0.00294387,0.001196097,0.001418232,0.002404406,0.001906884,0.002404406,0.006459927,0.005670953,0.005561253,0.006631819,0.00255883,0.002988493,0.003816132,0.002643991,0.005756005,0.017542032,0.017542032,0.008265355
0.008462988,0.010738644,0.005953692,0.004192655,0.007050373,0.004192655,0.010395369,0.007034073,0.012987571,0.009942778,0.010295425,0.010012358,0,0.011716861,0.015290451,0.011564975,0.011564975,0.015709806
0.009734313,0.014108288,0.015054343,0.012628579,0.012037191,0.012628579,0.01868725,0.014426088,0.013184276,0.016119367,0.022077858,0.014129395,0.013800341,0.020780698,0.01650963,0.023590106,0.023590106,0.021324814
0.06227396,0.060608681,0.060443905,0.086479592,0.068504446,0.086479592,0.05226883,0.086889481,0.073114767,0.070613543,0.066594844,0.071275914,0.081217309,0.062986464,0.067512998,0.085876439,0.085876439,0.069333608
0.001645171,0.002750696,0.001720401,0.004046937,0.000984716,0.004046937,0.003903872,0.001884035,0.001601586,0.006315727,0.002553191,0.004035269,0,0.003472815,0.001896372,0.009846096,0.009846096,0.011471513
0.002923596,0.003077652,0.003450137,0.003550725,0.00818541,0.003550725,0.01699187,0.001008065,0.003236246,0.00487013,0.003150912,0.001959518,0,0.0147085,0.016889483,0.03537254,0.03537254,0.022751323
0.011892076,0.008904001,0.011522681,0.008016085,0.015749773,0.008016085,0.025946172,0.010290315,0.016495081,0.016718005,0.017120366,0.010006227,0.011365502,0.006812104,0.023232084,0.023177144,0.023177144,0.020814189
0.006729038,0.005930074,0.005304561,0.008333075,0.006244772,0.008333075,0.008958937,0.006716991,0.010739594,0.004842757,0.007965043,0.006554808,0,0.016211067,0.009331426,0.00896577,0.00896577,0.010472314
0.004902987,0.00545322,0.006837031,0.003993113,0.004656762,0.003993113,0.005572996,0.00478903,0.004844549,0.009954163,0.008872992,0.006399668,0,0.006531757,0.012440071,0.023622414,0.023622414,0.008985648
0.009802668,0.012788339,0.009846178,0.015210447,0.014642888,0.015210447,0.020430255,0.014674854,0.016042043,0.015428712,0.015451819,0.013363585,0.018256735,0.018608488,0.021319732,0.019105948,0.019105948,0.018357117
